Fecha,Hora,Sector,Mp10,Mp2_5,Humedad,Temperatura
01-06-2019,3:56:15,amanecer,21,21,,
01-06-2019,3:56:15,amanecer,28,26,,
01-06-2019,3:59:24,centro,,,95.2,11.4
01-06-2019,3:59:40,universidad,12,11,94.8,11.9
01-06-2019,4:00:58,santa rosa,29,22,,
01-06-2019,4:02:48,pueblo nuevo,,,82.0,11.8
01-06-2019,4:02:59,pueblo nuevo,7,5,,
01-06-2019,4:03:11,pueblo nuevo,10,9,,
01-06-2019,4:03:23,santa rosa,,,96.0,10.9
01-06-2019,4:03:35,santa rosa,25,24,,
01-06-2019,4:04:17,pedro valdivia,,,96.5,11.8
01-06-2019,4:06:03,amanecer,,,91.2,11.5
01-06-2019,4:06:15,amanecer,28,28,,
01-06-2019,4:06:15,amanecer,33,31,,
01-06-2019,4:09:24,centro,,,95.0,11.5
01-06-2019,4:10:57,santa rosa,25,20,,
01-06-2019,4:11:02,universidad,11,10,94.7,11.9
01-06-2019,4:12:48,pueblo nuevo,,,82.1,11.8
01-06-2019,4:12:59,pueblo nuevo,7,5,,
01-06-2019,4:13:11,pueblo nuevo,12,10,,
01-06-2019,4:13:23,santa rosa,,,96.0,11.0
01-06-2019,4:13:35,santa rosa,21,20,,
01-06-2019,4:14:17,pedro valdivia,,,96.4,11.8
01-06-2019,4:16:03,amanecer,,,91.3,11.5
01-06-2019,4:16:15,amanecer,14,14,,
01-06-2019,4:16:15,amanecer,23,22,,
01-06-2019,4:19:24,centro,,,94.6,11.5
01-06-2019,4:20:57,santa rosa,21,17,,
01-06-2019,4:22:02,universidad,7,6,93.5,12.2
01-06-2019,4:22:48,pueblo nuevo,,,82.0,11.8
01-06-2019,4:22:59,pueblo nuevo,5,3,,
01-06-2019,4:23:11,pueblo nuevo,7,6,,
01-06-2019,4:23:23,santa rosa,,,96.0,11.1
01-06-2019,4:23:35,santa rosa,21,20,,
01-06-2019,4:24:17,pedro valdivia,,,95.5,12.1
01-06-2019,4:26:03,amanecer,,,90.5,11.8
01-06-2019,4:26:15,amanecer,22,21,,
01-06-2019,4:26:16,amanecer,14,13,,
01-06-2019,4:29:24,centro,,,94.2,11.6
01-06-2019,4:30:57,santa rosa,13,10,,
01-06-2019,4:32:48,pueblo nuevo,,,80.8,11.9
01-06-2019,4:32:59,pueblo nuevo,2,2,,
01-06-2019,4:33:06,universidad,8,7,90.9,12.7
01-06-2019,4:33:11,pueblo nuevo,8,6,,
01-06-2019,4:33:23,santa rosa,,,95.7,11.2
01-06-2019,4:33:35,santa rosa,18,17,,
01-06-2019,4:34:17,pedro valdivia,,,94.9,12.2
01-06-2019,4:36:03,amanecer,,,90.1,11.9
01-06-2019,4:36:15,amanecer,7,7,,
01-06-2019,4:36:15,amanecer,14,13,,
01-06-2019,4:39:24,centro,,,93.7,11.7
01-06-2019,4:40:57,santa rosa,13,8,,
01-06-2019,4:42:48,pueblo nuevo,,,80.8,12.0
01-06-2019,4:42:59,pueblo nuevo,5,5,,
01-06-2019,4:43:11,pueblo nuevo,9,8,,
01-06-2019,4:43:23,santa rosa,,,94.7,11.5
01-06-2019,4:43:35,santa rosa,16,15,,
01-06-2019,4:44:12,universidad,8,7,91.1,12.8
01-06-2019,4:44:17,pedro valdivia,,,95.2,12.1
01-06-2019,4:46:03,amanecer,,,87.6,12.2
01-06-2019,4:46:14,amanecer,7,7,,
01-06-2019,4:46:15,amanecer,15,14,,
01-06-2019,4:49:24,centro,,,93.1,11.8
01-06-2019,4:50:57,santa rosa,21,14,,
01-06-2019,4:52:48,pueblo nuevo,,,80.8,12.0
01-06-2019,4:52:59,pueblo nuevo,3,2,,
01-06-2019,4:53:11,pueblo nuevo,6,5,,
01-06-2019,4:53:23,santa rosa,,,94.6,11.5
01-06-2019,4:53:35,santa rosa,21,20,,
01-06-2019,4:54:17,pedro valdivia,,,95.4,12.1
01-06-2019,4:55:16,universidad,10,9,92.0,12.6
01-06-2019,4:56:03,amanecer,,,86.9,12.3
01-06-2019,4:56:14,amanecer,17,17,,
01-06-2019,4:56:15,amanecer,27,25,,
01-06-2019,4:59:24,centro,,,91.9,11.9
01-06-2019,5:00:57,santa rosa,18,13,,
01-06-2019,5:02:48,pueblo nuevo,,,80.8,12.0
01-06-2019,5:02:59,pueblo nuevo,3,2,,
01-06-2019,5:03:11,pueblo nuevo,4,4,,
01-06-2019,5:03:23,santa rosa,,,94.9,11.5
01-06-2019,5:03:35,santa rosa,16,15,,
01-06-2019,5:04:17,pedro valdivia,,,95.4,12.1
01-06-2019,5:06:03,amanecer,,,87.5,12.3
01-06-2019,5:06:14,amanecer,8,8,,
01-06-2019,5:06:15,amanecer,20,19,,
01-06-2019,5:06:22,universidad,8,7,92.7,12.5
01-06-2019,5:09:24,centro,,,92.1,12.0
01-06-2019,5:10:57,santa rosa,10,7,,
01-06-2019,5:12:48,pueblo nuevo,,,80.7,12.0
01-06-2019,5:12:59,pueblo nuevo,2,1,,
01-06-2019,5:13:11,pueblo nuevo,7,6,,
01-06-2019,5:13:23,santa rosa,,,95.0,11.5
01-06-2019,5:13:35,santa rosa,15,14,,
01-06-2019,5:14:17,pedro valdivia,,,94.7,12.1
01-06-2019,5:16:03,amanecer,,,88.3,12.2
01-06-2019,5:16:14,amanecer,15,15,,
01-06-2019,5:16:15,amanecer,25,24,,
01-06-2019,5:17:39,universidad,8,7,90.9,12.6
01-06-2019,5:19:24,centro,,,91.9,12.0
01-06-2019,5:20:57,santa rosa,10,7,,
01-06-2019,5:22:48,pueblo nuevo,,,78.7,12.1
01-06-2019,5:23:00,pueblo nuevo,1,0,,
01-06-2019,5:23:11,pueblo nuevo,7,5,,
01-06-2019,5:23:23,santa rosa,,,94.6,11.6
01-06-2019,5:23:35,santa rosa,14,13,,
01-06-2019,5:24:17,pedro valdivia,,,92.9,12.3
01-06-2019,5:26:03,amanecer,,,88.2,12.2
01-06-2019,5:26:14,amanecer,10,10,,
01-06-2019,5:26:15,amanecer,15,14,,
01-06-2019,5:28:41,universidad,8,7,88.4,13.0
01-06-2019,5:29:24,centro,,,91.5,12.0
01-06-2019,5:30:57,santa rosa,6,5,,
01-06-2019,5:32:48,pueblo nuevo,,,76.1,12.3
01-06-2019,5:32:59,pueblo nuevo,0,0,,
01-06-2019,5:33:11,pueblo nuevo,6,4,,
01-06-2019,5:33:23,santa rosa,,,92.5,11.9
01-06-2019,5:33:35,santa rosa,12,11,,
01-06-2019,5:34:17,pedro valdivia,,,93.2,12.4
01-06-2019,5:36:03,amanecer,,,84.6,12.4
01-06-2019,5:36:14,amanecer,4,4,,
01-06-2019,5:36:15,amanecer,13,12,,
01-06-2019,5:39:24,centro,,,90.6,12.1
01-06-2019,5:39:58,universidad,6,5,8.780.001,13.0
01-06-2019,5:40:57,santa rosa,6,3,,
01-06-2019,5:42:49,pueblo nuevo,,,76.3,12.3
01-06-2019,5:42:59,pueblo nuevo,1,1,,
01-06-2019,5:43:11,pueblo nuevo,4,4,,
01-06-2019,5:43:23,santa rosa,,,91.1,12.2
01-06-2019,5:43:35,santa rosa,11,10,,
01-06-2019,5:44:17,pedro valdivia,,,93.7,12.4
01-06-2019,5:46:03,amanecer,,,83.7,12.7
01-06-2019,5:46:14,amanecer,5,5,,
01-06-2019,5:46:15,amanecer,13,12,,
01-06-2019,5:49:24,centro,,,89.1,12.2
01-06-2019,5:50:56,santa rosa,6,3,,
01-06-2019,5:50:58,universidad,5,4,8.920.001,13.1
01-06-2019,5:52:48,pueblo nuevo,,,77.1,12.3
01-06-2019,5:52:59,pueblo nuevo,1,0,,
01-06-2019,5:53:11,pueblo nuevo,6,5,,
01-06-2019,5:53:23,santa rosa,,,90.9,12.2
01-06-2019,5:53:35,santa rosa,15,14,,
01-06-2019,5:54:17,pedro valdivia,,,93.5,12.4
01-06-2019,5:56:02,amanecer,,,83.5,12.7
01-06-2019,5:56:14,amanecer,4,4,,
01-06-2019,5:56:15,amanecer,11,10,,
01-06-2019,5:59:24,centro,,,88.3,12.2
01-06-2019,6:00:56,santa rosa,10,6,,
01-06-2019,6:02:04,universidad,8,7,88.6,13.0
01-06-2019,6:02:48,pueblo nuevo,,,77.2,12.2
01-06-2019,6:02:59,pueblo nuevo,2,0,,
01-06-2019,6:03:11,pueblo nuevo,5,5,,
01-06-2019,6:03:23,santa rosa,,,91.7,12.0
01-06-2019,6:03:35,santa rosa,14,13,,
01-06-2019,6:04:17,pedro valdivia,,,93.6,12.4
01-06-2019,6:06:02,amanecer,,,83.2,12.7
01-06-2019,6:06:14,amanecer,3,3,,
01-06-2019,6:06:15,amanecer,12,11,,
01-06-2019,6:09:24,centro,,,86.8,12.2
01-06-2019,6:10:56,santa rosa,6,5,,
01-06-2019,6:12:48,pueblo nuevo,,,77.1,12.1
01-06-2019,6:12:59,pueblo nuevo,1,0,,
01-06-2019,6:13:05,universidad,6,5,85.0,13.1
01-06-2019,6:13:11,pueblo nuevo,12,9,,
01-06-2019,6:13:23,santa rosa,,,91.3,12.0
01-06-2019,6:13:35,santa rosa,14,13,,
01-06-2019,6:14:17,pedro valdivia,,,92.7,12.4
01-06-2019,6:16:02,amanecer,,,83.0,12.7
01-06-2019,6:16:14,amanecer,3,2,,
01-06-2019,6:16:15,amanecer,11,10,,
01-06-2019,6:19:24,centro,,,85.5,12.3
01-06-2019,6:20:56,santa rosa,6,3,,
01-06-2019,6:22:48,pueblo nuevo,,,76.0,12.2
01-06-2019,6:22:59,pueblo nuevo,2,1,,
01-06-2019,6:23:11,pueblo nuevo,9,9,,
01-06-2019,6:23:23,santa rosa,,,90.9,12.1
01-06-2019,6:23:35,santa rosa,13,12,,
01-06-2019,6:24:10,universidad,7,6,86.3,13.1
01-06-2019,6:24:17,pedro valdivia,,,92.8,12.4
01-06-2019,6:26:02,amanecer,,,81.4,12.8
01-06-2019,6:26:14,amanecer,3,3,,
01-06-2019,6:26:15,amanecer,11,10,,
01-06-2019,6:29:24,centro,,,85.0,12.3
01-06-2019,6:30:56,santa rosa,6,3,,
01-06-2019,6:32:48,pueblo nuevo,,,75.8,12.2
01-06-2019,6:32:59,pueblo nuevo,1,1,,
01-06-2019,6:33:11,pueblo nuevo,8,6,,
01-06-2019,6:33:23,santa rosa,,,90.5,12.2
01-06-2019,6:33:35,santa rosa,12,11,,
01-06-2019,6:34:17,pedro valdivia,,,92.8,12.5
01-06-2019,6:35:12,universidad,6,5,8.670.001,13.2
01-06-2019,6:36:02,amanecer,,,81.5,12.8
01-06-2019,6:36:14,amanecer,2,2,,
01-06-2019,6:36:14,amanecer,11,10,,
01-06-2019,6:39:24,centro,,,85.2,12.4
01-06-2019,6:40:56,santa rosa,9,6,,
01-06-2019,6:42:48,pueblo nuevo,,,75.6,12.2
01-06-2019,6:42:59,pueblo nuevo,2,0,,
01-06-2019,6:43:11,pueblo nuevo,7,5,,
01-06-2019,6:43:23,santa rosa,,,90.5,12.2
01-06-2019,6:43:35,santa rosa,13,12,,
01-06-2019,6:44:17,pedro valdivia,,,92.8,12.5
01-06-2019,6:46:02,amanecer,,,81.0,12.9
01-06-2019,6:46:14,amanecer,3,3,,
01-06-2019,6:46:14,amanecer,12,11,,
01-06-2019,6:46:17,universidad,6,5,86.3,13.3
01-06-2019,6:49:24,centro,,,85.1,12.4
01-06-2019,6:50:56,santa rosa,6,2,,
01-06-2019,6:52:48,pueblo nuevo,,,74.6,12.3
01-06-2019,6:52:59,pueblo nuevo,1,1,,
01-06-2019,6:53:11,pueblo nuevo,6,5,,
01-06-2019,6:53:23,santa rosa,,,89.2,12.4
01-06-2019,6:53:35,santa rosa,13,12,,
01-06-2019,6:54:17,pedro valdivia,,,92.8,12.6
